"date_","continent","location","population","new_people_vaccinated_smoothed","cumsum_vac"
"2020-09-30","Asia","Afghanistan",39835428,0,0.0
"2020-10-01","Asia","Afghanistan",39835428,0,0.0
"2020-10-02","Asia","Afghanistan",39835428,0,0.0
"2020-10-03","Asia","Afghanistan",39835428,0,0.0
"2020-10-04","Asia","Afghanistan",39835428,0,0.0
"2020-10-05","Asia","Afghanistan",39835428,0,0.0
"2020-10-06","Asia","Afghanistan",39835428,0,0.0
"2020-10-07","Asia","Afghanistan",39835428,0,0.0
"2020-10-08","Asia","Afghanistan",39835428,0,0.0
"2020-10-09","Asia","Afghanistan",39835428,0,0.0
"2020-10-10","Asia","Afghanistan",39835428,0,0.0
"2020-10-11","Asia","Afghanistan",39835428,0,0.0
"2020-10-12","Asia","Afghanistan",39835428,0,0.0
"2020-10-13","Asia","Afghanistan",39835428,0,0.0
"2020-10-14","Asia","Afghanistan",39835428,0,0.0
"2020-10-15","Asia","Afghanistan",39835428,0,0.0
"2020-10-16","Asia","Afghanistan",39835428,0,0.0
"2020-10-17","Asia","Afghanistan",39835428,0,0.0
"2020-10-18","Asia","Afghanistan",39835428,0,0.0
"2020-10-19","Asia","Afghanistan",39835428,0,0.0
"2020-10-20","Asia","Afghanistan",39835428,0,0.0
"2020-10-21","Asia","Afghanistan",39835428,0,0.0
"2020-10-22","Asia","Afghanistan",39835428,0,0.0
"2020-10-23","Asia","Afghanistan",39835428,0,0.0
"2020-10-24","Asia","Afghanistan",39835428,0,0.0
"2020-10-25","Asia","Afghanistan",39835428,0,0.0
"2020-10-26","Asia","Afghanistan",39835428,0,0.0
"2020-10-27","Asia","Afghanistan",39835428,0,0.0
"2020-10-28","Asia","Afghanistan",39835428,0,0.0
"2020-10-29","Asia","Afghanistan",39835428,0,0.0
"2020-10-30","Asia","Afghanistan",39835428,0,0.0
"2020-10-31","Asia","Afghanistan",39835428,0,0.0
"2020-11-01","Asia","Afghanistan",39835428,0,0.0
"2020-11-02","Asia","Afghanistan",39835428,0,0.0
"2020-11-03","Asia","Afghanistan",39835428,0,0.0
"2020-11-04","Asia","Afghanistan",39835428,0,0.0
"2020-11-05","Asia","Afghanistan",39835428,0,0.0
"2020-11-06","Asia","Afghanistan",39835428,0,0.0
"2020-11-07","Asia","Afghanistan",39835428,0,0.0
"2020-11-08","Asia","Afghanistan",39835428,0,0.0
"2020-11-09","Asia","Afghanistan",39835428,0,0.0
"2020-11-10","Asia","Afghanistan",39835428,0,0.0
"2020-11-11","Asia","Afghanistan",39835428,0,0.0
"2020-11-12","Asia","Afghanistan",39835428,0,0.0
"2020-11-13","Asia","Afghanistan",39835428,0,0.0
"2020-11-14","Asia","Afghanistan",39835428,0,0.0
"2020-11-15","Asia","Afghanistan",39835428,0,0.0
"2020-11-16","Asia","Afghanistan",39835428,0,0.0
"2020-11-17","Asia","Afghanistan",39835428,0,0.0
"2020-11-18","Asia","Afghanistan",39835428,0,0.0
"2020-11-19","Asia","Afghanistan",39835428,0,0.0
"2020-11-20","Asia","Afghanistan",39835428,0,0.0
"2020-11-21","Asia","Afghanistan",39835428,0,0.0
"2020-11-22","Asia","Afghanistan",39835428,0,0.0
"2020-11-23","Asia","Afghanistan",39835428,0,0.0
"2020-11-24","Asia","Afghanistan",39835428,0,0.0
"2020-11-25","Asia","Afghanistan",39835428,0,0.0
"2020-11-26","Asia","Afghanistan",39835428,0,0.0
"2020-11-27","Asia","Afghanistan",39835428,0,0.0
"2020-11-28","Asia","Afghanistan",39835428,0,0.0
"2020-11-29","Asia","Afghanistan",39835428,0,0.0
"2020-11-30","Asia","Afghanistan",39835428,0,0.0
"2020-12-01","Asia","Afghanistan",39835428,0,0.0
"2020-12-02","Asia","Afghanistan",39835428,0,0.0
"2020-12-03","Asia","Afghanistan",39835428,0,0.0
"2020-12-04","Asia","Afghanistan",39835428,0,0.0
"2020-12-05","Asia","Afghanistan",39835428,0,0.0
"2020-12-06","Asia","Afghanistan",39835428,0,0.0
"2020-12-07","Asia","Afghanistan",39835428,0,0.0
"2020-12-08","Asia","Afghanistan",39835428,0,0.0
"2020-12-09","Asia","Afghanistan",39835428,0,0.0
"2020-12-10","Asia","Afghanistan",39835428,0,0.0
"2020-12-11","Asia","Afghanistan",39835428,0,0.0
